Date,Open,High,Low,Close,Volume
19860313,0.0885,0.1016,0.0885,0.0972,1031788800
19860314,0.0972,0.1024,0.0972,0.1007,308160000
19860317,0.1007,0.1033,0.1007,0.1024,133171200
19860318,0.1024,0.1033,0.099,0.0998,67766400
19860319,0.0998,0.1007,0.0972,0.0981,47894400
19860320,0.0981,0.0981,0.0946,0.0955,58435200
19860321,0.0955,0.0972,0.0912,0.0929,59990400
19860324,0.0929,0.0929,0.0894,0.0903,65289600
19860325,0.0903,0.092,0.0894,0.092,32083200
19860326,0.092,0.0955,0.0912,0.0946,22752000
19860327,0.0946,0.0963,0.0946,0.0963,16848000
19860331,0.0963,0.0963,0.0938,0.0955,12873600
19860401,0.0955,0.0955,0.0946,0.0946,11088000
19860402,0.0946,0.0972,0.0946,0.0955,27014400
19860403,0.0963,0.099,0.0963,0.0963,23040000
19860404,0.0963,0.0972,0.0963,0.0963,26582400
19860407,0.0963,0.0972,0.0929,0.0946,16560000
19860408,0.0946,0.0972,0.0946,0.0955,10252800
19860409,0.0955,0.0981,0.0955,0.0972,12153600
19860410,0.0972,0.099,0.0955,0.0981,13881600
19860411,0.099,0.1016,0.099,0.0998,17222400
19860414,0.0998,0.1016,0.0998,0.1007,12153600
19860415,0.1007,0.1007,0.0972,0.1007,9302400
19860416,0.1007,0.105,0.0998,0.1042,31910400
19860417,0.1042,0.105,0.1042,0.105,22003200
19860418,0.105,0.105,0.1007,0.1016,21628800
19860421,0.1016,0.1024,0.099,0.1016,22924800
19860422,0.1016,0.1016,0.0998,0.0998,15552000
19860423,0.0998,0.1007,0.099,0.1002,15609600
19860424,0.1002,0.112,0.0998,0.1102,62352000
19860425,0.1111,0.122,0.1111,0.1172,85795200
19860428,0.1172,0.1189,0.1163,0.1181,28886400
19860429,0.1181,0.1181,0.1137,0.1146,30326400
19860430,0.1146,0.1155,0.1094,0.112,30902400
19860501,0.112,0.112,0.1085,0.1102,54345600
19860502,0.1102,0.112,0.1094,0.1102,20246400
19860505,0.1102,0.1102,0.1094,0.1094,3254400
19860506,0.1102,0.112,0.1102,0.1102,9734400
19860507,0.1102,0.1111,0.1085,0.1102,5155200
19860508,0.1102,0.1111,0.1094,0.1111,3542400
19860509,0.1111,0.1111,0.1102,0.1102,6076800
19860512,0.1102,0.1137,0.1102,0.1111,10483200
19860513,0.1111,0.1129,0.1111,0.112,3830400
19860514,0.112,0.112,0.1111,0.1111,9302400
19860515,0.1111,0.1129,0.1111,0.1111,3801600
19860516,0.1111,0.1146,0.1111,0.112,11952000
19860519,0.112,0.112,0.1094,0.1102,11001600
19860520,0.1102,0.1102,0.1085,0.1094,61977600
19860521,0.1094,0.1102,0.1076,0.1076,8092800
19860522,0.1076,0.1085,0.1076,0.1076,4406400
19860523,0.1076,0.1094,0.1076,0.1076,4089600
19860527,0.1076,0.1111,0.1076,0.1111,13881600
19860528,0.1111,0.1146,0.1111,0.1146,15523200
19860529,0.1146,0.1189,0.1137,0.1172,45676800
19860530,0.1181,0.1233,0.1181,0.1215,27072000
19860602,0.1215,0.1215,0.1181,0.1181,19728000
19860603,0.1181,0.1181,0.1163,0.1181,5011200
19860604,0.1181,0.1189,0.1163,0.1172,4723200
19860605,0.1172,0.1189,0.1163,0.1189,13708800
19860606,0.1189,0.1189,0.1172,0.1189,3427200
19860609,0.1189,0.1189,0.1137,0.1137,12672000
19860610,0.1137,0.1137,0.112,0.1137,3427200
19860611,0.1137,0.1137,0.112,0.1137,2304000
19860612,0.1137,0.1137,0.1085,0.1094,13708800
19860613,0.1094,0.1102,0.1085,0.1094,7891200
19860616,0.1094,0.1102,0.1076,0.1085,9590400
19860617,0.1094,0.112,0.1094,0.1102,13075200
19860618,0.1102,0.1102,0.1076,0.1094,4348800
19860619,0.1094,0.1102,0.1076,0.1085,8467200
19860620,0.1085,0.1094,0.1085,0.1089,3801600
19860623,0.1089,0.1102,0.1068,0.1102,46195200
19860624,0.1102,0.1111,0.1085,0.1094,14572800
19860625,0.1094,0.1102,0.1076,0.1076,15235200
19860626,0.1076,0.1085,0.1042,0.1042,19152000
19860627,0.1042,0.105,0.1024,0.1033,10396800
19860630,0.1033,0.1094,0.1024,0.1068,62352000
19860701,0.1068,0.1068,0.1059,0.1068,47577600
19860702,0.1068,0.1068,0.1059,0.1068,52617600
19860703,0.1076,0.1094,0.1076,0.1085,14140800
19860707,0.1085,0.1085,0.1042,0.1042,14054400
19860708,0.1042,0.1042,0.1007,0.1016,14256000
19860709,0.1016,0.1016,0.0963,0.0972,46137600
19860710,0.0972,0.0981,0.0903,0.0946,46886400
19860711,0.0946,0.099,0.0946,0.0972,17395200
19860714,0.0946,0.0981,0.0946,0.0959,28598400
19860715,0.0959,0.099,0.0946,0.0972,13190400
19860716,0.0981,0.1007,0.0981,0.1007,9360000
19860717,0.1007,0.1024,0.0998,0.1024,6940800
19860718,0.1024,0.1042,0.0998,0.1033,12326400
19860721,0.1033,0.105,0.1033,0.1033,3513600
19860722,0.1033,0.1068,0.1033,0.1068,10512000
19860723,0.1068,0.1085,0.1042,0.1042,20793600
19860724,0.1059,0.1094,0.1059,0.1076,14140800
19860725,0.1076,0.1094,0.1076,0.1085,20448000
19860728,0.1085,0.1085,0.1059,0.1059,11808000
19860729,0.1059,0.1068,0.1016,0.1033,14054400
19860730,0.1033,0.1033,0.0963,0.0998,26409600
19860731,0.0998,0.1007,0.099,0.099,15638400
19860801,0.099,0.0998,0.0972,0.0981,12902400
19860804,0.0981,0.0981,0.0955,0.0981,12441600
19860805,0.0981,0.099,0.0972,0.0972,2822400
19860806,0.0972,0.0981,0.0946,0.0963,18316800
19860807,0.0963,0.0972,0.0946,0.0955,3657600
19860808,0.0955,0.0981,0.0955,0.0963,4147200
19860811,0.0981,0.1007,0.0981,0.0998,7948800
19860812,0.0998,0.1024,0.0998,0.1024,9993600
19860813,0.1024,0.1033,0.1016,0.1033,6883200
19860814,0.1033,0.1068,0.1033,0.1059,20131200
19860815,0.1059,0.1068,0.105,0.1063,6105600
19860818,0.1063,0.1068,0.105,0.105,12787200
19860819,0.105,0.1054,0.1033,0.105,20390400
19860820,0.105,0.105,0.1042,0.1042,20764800
19860821,0.1042,0.1059,0.1042,0.1042,49536000
19860822,0.1042,0.105,0.1007,0.1024,5760000
19860825,0.1024,0.1024,0.1007,0.1024,2419200
19860826,0.1024,0.1024,0.1016,0.1016,10857600
19860827,0.1016,0.1024,0.1007,0.1016,9532800
19860828,0.1016,0.1024,0.1016,0.1016,3427200
19860829,0.1016,0.1024,0.0972,0.099,25430400
19860902,0.099,0.099,0.095,0.0963,5212800
19860903,0.0955,0.0955,0.0912,0.0938,18316800
19860904,0.0955,0.1016,0.0955,0.1016,39427200
19860905,0.1016,0.1059,0.1007,0.1059,26352000
19860908,0.1059,0.1068,0.105,0.105,9619200
19860909,0.105,0.1094,0.105,0.1068,37526400
19860910,0.1068,0.1076,0.105,0.105,10886400
19860911,0.105,0.1059,0.1007,0.1007,35654400
19860912,0.1007,0.1016,0.0981,0.0981,24451200
19860915,0.0981,0.0998,0.0963,0.0998,22492800
19860916,0.0998,0.1007,0.0981,0.0998,5184000
19860917,0.0998,0.1042,0.099,0.1024,8035200
19860918,0.1024,0.105,0.1024,0.1033,5356800
19860919,0.1033,0.1042,0.1024,0.1033,2505600
19860922,0.1033,0.1033,0.1024,0.1024,4492800
19860923,0.1024,0.105,0.1024,0.1042,5961600
19860924,0.1042,0.1042,0.1024,0.1028,4780800
19860925,0.1028,0.1033,0.1007,0.1007,5155200
19860926,0.1007,0.1016,0.0998,0.1007,2332800
19860929,0.1007,0.1007,0.0981,0.0981,6192000
19860930,0.0981,0.0998,0.0981,0.0981,5184000
19861001,0.0981,0.0998,0.0955,0.0972,32428800
19861002,0.0972,0.099,0.0963,0.0972,22723200
19861003,0.0972,0.099,0.0972,0.0981,14716800
19861006,0.1007,0.1076,0.1007,0.1059,85334400
19861007,0.1059,0.1102,0.1059,0.1081,59788800
19861008,0.1081,0.1124,0.1068,0.1111,119606400
19861009,0.1111,0.1172,0.1111,0.1146,92563200
19861010,0.1146,0.1224,0.1129,0.1198,76752000
19861013,0.1198,0.1198,0.1146,0.1146,27129600
19861014,0.1155,0.1172,0.1155,0.1163,12873600
19861015,0.1163,0.1224,0.1163,0.1215,63532800
19861016,0.1215,0.1224,0.1207,0.1215,21859200
19861017,0.1215,0.1259,0.1215,0.125,124444800
19861020,0.125,0.1276,0.1224,0.1259,43545600
19861021,0.1267,0.1311,0.1267,0.1311,112377600
19861022,0.1311,0.1324,0.1302,0.1311,54576000
19861023,0.1311,0.1319,0.1298,0.1311,70444800
19861024,0.1311,0.1311,0.1267,0.1302,101376000
19861027,0.1311,0.1346,0.1311,0.1346,125654400
19861028,0.1346,0.1398,0.1346,0.1376,142646400
19861029,0.1376,0.138,0.1319,0.1337,53222400
19861030,0.1337,0.138,0.1328,0.1363,44380800
19861031,0.1363,0.138,0.1337,0.1346,63734400
19861103,0.1354,0.138,0.1354,0.1372,42192000
19861104,0.1372,0.1424,0.1372,0.1424,54403200
19861105,0.1424,0.1519,0.1415,0.151,45100800
19861106,0.151,0.158,0.1502,0.1545,72576000
19861107,0.1545,0.1554,0.151,0.1537,44323200
19861110,0.1537,0.1537,0.1467,0.1476,28684800
19861111,0.1484,0.1502,0.1484,0.1484,11894400
19861112,0.1484,0.1519,0.1467,0.1484,34156800
19861113,0.1484,0.1493,0.1458,0.1463,30211200
19861114,0.1463,0.1476,0.1432,0.1476,18720000
19861117,0.1476,0.1502,0.1458,0.1484,24307200
19861118,0.1484,0.1493,0.1406,0.1406,59673600
19861119,0.1406,0.1467,0.1406,0.1458,48729600
19861120,0.1458,0.1571,0.1458,0.1571,98179200
19861121,0.158,0.1641,0.158,0.1623,91065600
19861124,0.1623,0.1762,0.1571,0.1753,173836800
19861125,0.1753,0.1779,0.1745,0.1771,95788800
19861126,0.1771,0.1779,0.1753,0.1753,38793600
19861128,0.1753,0.1762,0.171,0.1727,41328000
19861201,0.1727,0.1736,0.1684,0.1693,40291200
19861202,0.1701,0.1736,0.1701,0.1701,28771200
19861203,0.1701,0.1719,0.1684,0.1689,35164800
19861204,0.1689,0.1727,0.1675,0.171,42508800
19861205,0.171,0.1719,0.1701,0.1701,107510400
19861208,0.1701,0.1719,0.1658,0.1684,22665600
19861209,0.1684,0.1693,0.1667,0.1675,16099200
19861210,0.1675,0.1693,0.1658,0.1689,27590400
19861211,0.1689,0.171,0.1684,0.1701,11635200
19861212,0.1701,0.1701,0.1641,0.1641,25286400
19861215,0.1641,0.1649,0.1571,0.1597,50774400
19861216,0.1606,0.1641,0.1606,0.1615,77299200
